,Unnamed: 0,id,px,py
1943,1943,16,1822.152384,1990.030468
1944,1944,16,1822.152384,1990.030468
1945,1945,16,1805.479922,1948.717376
2057,2057,17,162.579455,777.7264543
2058,2058,17,162.579455,777.7264543
2059,2059,17,162.579455,777.7264543
2060,2060,17,162.579455,777.7264543
2061,2061,17,162.579455,777.7264543
2062,2062,17,162.579455,777.7264543
2063,2063,17,162.579455,777.7264543
2064,2064,17,162.579455,777.7264543
2065,2065,17,162.579455,777.7264543
2066,2066,17,162.579455,777.7264543
2178,2178,18,1662.430596,1748.131383
2179,2179,18,1638.978092,1708.177262
2180,2180,18,1638.978092,1708.177262
2181,2181,18,1608.189673,1667.045362
2182,2182,18,1608.189673,1667.045362
2183,2183,18,1587.515864,1641.315274
2184,2184,18,1587.515864,1641.315274
2185,2185,18,1587.960483,1623.829685
2186,2186,18,1587.960483,1623.829685
2187,2187,18,1578.401607,1615.403986
2299,2299,19,591.0607291,2053.630906
2300,2300,19,542.5995509,2085.521742
2301,2301,19,542.5995509,2085.521742
2302,2302,19,535.374836,2107.446669
2303,2303,19,535.374836,2107.446669
2304,2304,19,497.250558,2115.781765
2305,2305,19,497.250558,2115.781765
2306,2306,19,477.3547975,2132.814334
2307,2307,19,477.3547975,2132.814334
2308,2308,19,433.2284564,2142.327246
2420,2420,20,1546.168276,1437.105329
2421,2421,20,1530.718477,1442.541264
2422,2422,20,1530.718477,1442.541264
2423,2423,20,1556.060555,1461.657629
2424,2424,20,1556.060555,1461.657629
2425,2425,20,1558.839303,1475.428664
2426,2426,20,1558.839303,1475.428664
2427,2427,20,1543.945279,1473.254288
2428,2428,20,1543.945279,1473.254288
2429,2429,20,1537.165158,1462.382421
2541,2541,21,1440.576247,1436.471133
2542,2542,21,1716.226952,1928.151421
2543,2543,21,1716.226952,1928.151421
2544,2544,21,1891.731795,2199.67631
2545,2545,21,1891.731795,2199.67631
2546,2546,21,1923.743692,2256.934666
2547,2547,21,1923.743692,2256.934666
2548,2548,21,1922.8538,2284.385404
2549,2549,21,1922.8538,2284.385404
2550,2550,21,1911.529022,2285.291556
2662,2662,22,448.1224857,2736.565532
2663,2663,22,436.4517927,2766.916167
2664,2664,22,436.4517927,2766.916167
2665,2665,22,429.2270724,2759.849451
2666,2666,22,429.2270724,2759.849451
2667,2667,22,458.4593871,2730.676602
2668,2668,22,458.4593871,2730.676602
2669,2669,22,475.2429587,2713.734606
2670,2670,22,475.2429587,2713.734606
2671,2671,22,512.9226379,2707.030286
2783,2783,23,49.20697643,385.8861649
2784,2784,23,49.20697643,385.8861649
2785,2785,23,49.20697643,385.8861649
2786,2786,23,49.20697643,385.8861649
2787,2787,23,49.20697643,385.8861649
2788,2788,23,49.20697643,385.8861649
2789,2789,23,49.20697643,385.8861649
2790,2790,23,49.20697643,385.8861649
2791,2791,23,49.20697643,385.8861649
2792,2792,23,49.20697643,385.8861649
2904,2904,24,1890.39805,2174.218042
2905,2905,24,1857.053263,2197.683134
2906,2906,24,1857.053263,2197.683134
2907,2907,24,1824.375406,2222.144835
2908,2908,24,1824.375406,2222.144835
2909,2909,24,1798.699814,2239.449168
2910,2910,24,1798.699814,2239.449168
2911,2911,24,1788.029501,2234.103834
2912,2912,24,1788.029501,2234.103834
2913,2913,24,1805.591071,2239.267927
3025,3025,25,1887.063768,2129.099783
3026,3026,25,1866.678861,2101.702672
3027,3027,25,1866.678861,2101.702672
3028,3028,25,1851.366169,2077.30742
